id,sample_id,sample_label,capacitance_pf,carried_out_at,day_of_week,hour_of_day,elapsed_minutes_since_first_reading,category
482,7,tamarong_batt_supply_04,1.731,2026-04-16T23:27:00.913222,4,23,921,spoiled
483,7,tamarong_batt_supply_04,1.7215,2026-04-16T23:27:10.788615,4,23,921,spoiled
484,7,tamarong_batt_supply_04,1.6735,2026-04-16T23:27:25.082050,4,23,922,spoiled
40,6,tamarong_batt_supply_03,5.8375,2026-04-16T08:02:58.323701,4,8,0,fresh
41,6,tamarong_batt_supply_03,5.789999999999999,2026-04-16T08:03:23.960772,4,8,0,fresh
42,6,tamarong_batt_supply_03,5.8035,2026-04-16T08:03:35.119727,4,8,0,fresh
43,6,tamarong_batt_supply_03,5.8465,2026-04-16T08:03:45.378653,4,8,0,fresh
44,6,tamarong_batt_supply_03,5.8565000000000005,2026-04-16T08:03:54.868593,4,8,0,fresh
45,6,tamarong_batt_supply_03,5.846,2026-04-16T08:04:06.777999,4,8,1,fresh
46,6,tamarong_batt_supply_03,5.8495,2026-04-16T08:04:20.042461,4,8,1,fresh
47,6,tamarong_batt_supply_03,5.8725000000000005,2026-04-16T08:04:30.680958,4,8,1,fresh
113,6,tamarong_batt_supply_03,4.245,2026-04-16T10:45:32.128337,4,10,162,moderate
114,6,tamarong_batt_supply_03,4.2844999999999995,2026-04-16T10:45:47.161582,4,10,162,moderate
115,6,tamarong_batt_supply_03,4.3645,2026-04-16T10:45:59.398968,4,10,163,moderate
116,6,tamarong_batt_supply_03,4.34,2026-04-16T10:46:12.160121,4,10,163,moderate
117,6,tamarong_batt_supply_03,4.295,2026-04-16T10:46:24.386777,4,10,163,moderate
118,6,tamarong_batt_supply_03,4.3865,2026-04-16T10:46:38.214301,4,10,163,moderate
229,6,tamarong_batt_supply_03,4.006,2026-04-16T11:31:20.674586,4,11,208,moderate
230,6,tamarong_batt_supply_03,4.089,2026-04-16T11:31:34.085721,4,11,208,moderate
231,6,tamarong_batt_supply_03,4.0235,2026-04-16T11:31:46.478619,4,11,208,moderate
232,6,tamarong_batt_supply_03,4.083,2026-04-16T11:31:59.589299,4,11,209,moderate
238,6,tamarong_batt_supply_03,4.02,2026-04-16T11:33:12.247241,4,11,210,moderate
239,6,tamarong_batt_supply_03,4.0595,2026-04-16T11:33:25.907839,4,11,210,moderate
240,6,tamarong_batt_supply_03,4.0265,2026-04-16T11:33:37.934271,4,11,210,moderate
291,6,tamarong_batt_supply_03,2.785,2026-04-16T13:20:45.547227,4,13,317,moderate
292,6,tamarong_batt_supply_03,2.7794999999999996,2026-04-16T13:21:01.711514,4,13,318,moderate
293,6,tamarong_batt_supply_03,2.772,2026-04-16T13:21:17.974069,4,13,318,moderate
294,6,tamarong_batt_supply_03,2.7765,2026-04-16T13:21:31.618693,4,13,318,moderate
295,6,tamarong_batt_supply_03,2.733,2026-04-16T13:21:45.095964,4,13,318,moderate
296,6,tamarong_batt_supply_03,2.774,2026-04-16T13:22:00.009270,4,13,319,moderate
355,6,tamarong_batt_supply_03,2.457,2026-04-16T15:50:09.409307,4,15,467,spoiled
357,6,tamarong_batt_supply_03,2.322,2026-04-16T15:50:43.670298,4,15,467,spoiled
359,6,tamarong_batt_supply_03,2.3655,2026-04-16T15:51:09.791213,4,15,468,spoiled
360,6,tamarong_batt_supply_03,2.4370000000000003,2026-04-16T15:51:23.502140,4,15,468,spoiled
361,6,tamarong_batt_supply_03,2.4255,2026-04-16T15:51:36.162803,4,15,468,spoiled
362,6,tamarong_batt_supply_03,2.2935,2026-04-16T15:51:55.894285,4,15,468,spoiled
363,6,tamarong_batt_supply_03,2.4015,2026-04-16T15:52:08.888815,4,15,469,spoiled
415,6,tamarong_batt_supply_03,2.0700000000000003,2026-04-16T18:57:04.457403,4,18,654,spoiled
416,6,tamarong_batt_supply_03,1.7614999999999998,2026-04-16T18:57:16.866183,4,18,654,spoiled
417,6,tamarong_batt_supply_03,1.8235000000000001,2026-04-16T18:57:26.940975,4,18,654,spoiled
418,6,tamarong_batt_supply_03,1.976,2026-04-16T18:57:35.197511,4,18,654,spoiled
419,6,tamarong_batt_supply_03,1.831,2026-04-16T18:57:44.388190,4,18,654,spoiled
473,6,tamarong_batt_supply_03,1.6844999999999999,2026-04-16T23:24:52.361161,4,23,921,spoiled
474,6,tamarong_batt_supply_03,1.7574999999999998,2026-04-16T23:25:15.462543,4,23,922,spoiled
475,6,tamarong_batt_supply_03,1.703,2026-04-16T23:25:25.220228,4,23,922,spoiled
476,6,tamarong_batt_supply_03,1.734,2026-04-16T23:25:34.977926,4,23,922,spoiled
477,6,tamarong_batt_supply_03,1.7454999999999998,2026-04-16T23:25:45.453112,4,23,922,spoiled
25,5,tamarong_batt_supply_02,5.9495000000000005,2026-04-16T07:57:30.161134,4,7,0,fresh
26,5,tamarong_batt_supply_02,5.9215,2026-04-16T07:57:56.732733,4,7,0,fresh
27,5,tamarong_batt_supply_02,5.861,2026-04-16T07:58:07.123774,4,7,0,fresh
28,5,tamarong_batt_supply_02,5.8545,2026-04-16T07:58:20.868539,4,7,0,fresh
29,5,tamarong_batt_supply_02,5.861000000000001,2026-04-16T07:58:31.877019,4,7,1,fresh
30,5,tamarong_batt_supply_02,6.0504999999999995,2026-04-16T07:59:25.971251,4,7,1,fresh
31,5,tamarong_batt_supply_02,6.051500000000001,2026-04-16T08:00:00.264638,4,8,2,fresh
32,5,tamarong_batt_supply_02,6.060499999999999,2026-04-16T08:00:10.105606,4,8,2,fresh
33,5,tamarong_batt_supply_02,6.035,2026-04-16T08:00:20.097096,4,8,2,fresh
34,5,tamarong_batt_supply_02,6.009,2026-04-16T08:00:28.536786,4,8,2,fresh
35,5,tamarong_batt_supply_02,5.925,2026-04-16T08:00:41.230508,4,8,3,fresh
36,5,tamarong_batt_supply_02,5.919,2026-04-16T08:00:51.989500,4,8,3,fresh
37,5,tamarong_batt_supply_02,5.9225,2026-04-16T08:01:04.499435,4,8,3,fresh
104,5,tamarong_batt_supply_02,4.318,2026-04-16T10:42:44.662418,4,10,165,moderate
105,5,tamarong_batt_supply_02,4.312,2026-04-16T10:42:58.055415,4,10,165,moderate
106,5,tamarong_batt_supply_02,4.4145,2026-04-16T10:43:11.216218,4,10,165,moderate
107,5,tamarong_batt_supply_02,4.439,2026-04-16T10:43:23.559331,4,10,165,moderate
108,5,tamarong_batt_supply_02,4.4225,2026-04-16T10:43:35.435132,4,10,166,moderate
110,5,tamarong_batt_supply_02,4.259499999999999,2026-04-16T10:44:03.608838,4,10,166,moderate
223,5,tamarong_batt_supply_02,3.7035,2026-04-16T11:29:51.236632,4,11,212,moderate
226,5,tamarong_batt_supply_02,3.6609999999999996,2026-04-16T11:30:28.349232,4,11,212,moderate
227,5,tamarong_batt_supply_02,3.7824999999999998,2026-04-16T11:30:42.110049,4,11,213,moderate
228,5,tamarong_batt_supply_02,3.7984999999999998,2026-04-16T11:30:55.538246,4,11,213,moderate
285,5,tamarong_batt_supply_02,2.652,2026-04-16T13:19:04.968281,4,13,321,moderate
286,5,tamarong_batt_supply_02,2.6765,2026-04-16T13:19:18.078557,4,13,321,moderate
287,5,tamarong_batt_supply_02,2.667,2026-04-16T13:19:30.371635,4,13,322,moderate
288,5,tamarong_batt_supply_02,2.661,2026-04-16T13:19:42.297669,4,13,322,moderate
289,5,tamarong_batt_supply_02,2.6304999999999996,2026-04-16T13:19:54.524109,4,13,322,moderate
348,5,tamarong_batt_supply_02,2.213,2026-04-16T15:48:14.902058,4,15,470,spoiled
349,5,tamarong_batt_supply_02,2.3365,2026-04-16T15:48:27.761831,4,15,470,spoiled
350,5,tamarong_batt_supply_02,2.333,2026-04-16T15:48:40.138606,4,15,471,spoiled
351,5,tamarong_batt_supply_02,2.367,2026-04-16T15:48:52.348267,4,15,471,spoiled
352,5,tamarong_batt_supply_02,2.337,2026-04-16T15:49:02.656108,4,15,471,spoiled
